,Unnamed: 0,Buyer,# of transactions,Avg transaction price,avg holding period
0,0,0x91a3a407c4e8d07134641cffcf8a55e0059925c7,1434,215666.036,26867.196652719
1,1,0xa12c5c80d594e78f7bdef9842aa234b65339bd21,1401,196486.6165,17532.719486081
2,2,0x8c0b5a9d8d0e4808c3d70340df3bae8f156fb043,590,470082.4063,86613.96610169401
3,3,0x8bdc315628f74a81c9cf61ca5df2e368a7b2e20d,429,377677.1483,80614.405594405
4,4,0x1407930f5ff83ff94532885557b334c74b3afc42,351,544401.2795,30360.854700854
5,5,0xcaee6d433f36031b87d6e3c06395131a823314f3,341,561902.5161,22350.439882697003
6,6,0x2edadfb25586b1e4d6623c7021e76a2fa595cdec,337,541705.4219,29462.670623145
7,7,0x6165fd87c1bc73a4c44b23934e9136fd92df5b01,234,2167796.774,130410.51282051201
8,8,0xcb0d58cbb09fb8accefc2843f537c155203d58c4,219,702288.3496,28130.684931506003
9,9,0xc32575be004af0843d995d6139bbeb9f8085d970,194,612249.1162,35202.37113402
10,10,0xed2ab4948ba6a909a7751dec4f34f303eb8c7236,192,114661.5811,4169805.0000000005
11,11,0xecb793b01a1dadecb452fcca855b2f96822a9126,167,319770.6513,12691.616766467001
12,12,0x98499134fd237e9a443a5b59e9ae9129f3c9f8b8,166,321243.1258,3258.0722891560004
13,13,0x26c01ab4efffcf017fe0392fbdf080dcb8252d80,149,501548.9113,36098.255033557005
14,14,0x13fefdd563a930f07b1ac8a2227acc27c3c12946,141,2163962.894,184479.57446808502
15,15,0x8ce0d9060263b1b5ad3eff2e1e21736b5ef36936,133,1701481.089,220486.466165413
16,16,0xea19b97a1523ba7796c3c9075b243e14d3995474,132,1720725.909,6351.363636363
17,17,0xbd74c3f96c38478460a0e3c88ac86dd133af72be,123,18316.82675,5286812.195121951
18,18,0x8ffa85a0c59cf23967eb31c060b2ca3a920276e1,119,17271.66639,28038019.159663867
19,19,0x2a030ff3a0a001834eac35b2fe4bef3478ed04bb,115,10805.63383,3218437.043478261
20,20,0xe18a94a1e60903b1ec39d9104bed27d9a73ad9e2,101,20128.52119,2399177.8217821782
21,21,0x97b5d56d02c0b97b02346d2eb61a1747b63a72d9,99,13151.68475,3236550.303030303
22,22,0xb697b9455eeee9574ec5c5350cb10c8a5b752a39,84,16907.77798,26724330.0
23,23,0x0b81c1e1c53ee1eae26d6e504d28872d5d2728ef,82,2236321.1,63185.12195121901
24,24,0x904778b44bd12a1f7c3f1b95ff3381a952296cd1,81,25959.12556,7334046.666666668
25,25,0x7b3892238e64fc1e5a744183e561e581ecd509da,74,292268.2549,56289.729729729006
26,26,0xd44fea8b52e6078ab26249ea3cca8af01673172b,73,294196.8381,9265.479452054
27,27,0x86cd4467b6baef4b0e34b9508d788483f64a4bb9,68,4956230.231,9480.882352941
28,28,0xd587ea6215daf61e4d7e0b47b20acdbe462d03ee,66,5689.561212,1232843.636363636
29,29,0xfd12d178ac2c1854129aaa2428164687f1d14eca,66,1606151.274,190444.545454545
30,30,0xb6a684ce14addc0b0daad766424f3e28b49503a5,66,4879301.949,438214.545454545
31,31,0x044c8f54235e5293db95ac58ac6155578b8a695e,65,16611.46569,28345380.923076924
32,32,0x7bdc7ec8841cd7e8f463a5fc7f6f21c858e9a483,62,25836.19435,19787504.51612903
33,33,0xee3766e4f996dc0e0f8c929954eaafef3441de87,62,38072.26355,13389409.35483871
34,34,0x38a4d889a1979133fbc1d58f970f0953e3715c26,61,10848.98623,8724221.311475411
35,35,0x46e449a3f88d0e35b4520bc36e8dfda195c896b0,60,20690.37467,10506523.0
36,36,0xd82690fcd30d6adb6c83eddfa1e5ef66602d780a,60,9204.120333,28116978.0
37,37,0x33e3c007d1d48e2b645c9ce22570267b0c82f578,60,28446.7335,12919836.0
38,38,0x4f13f0df25ac816d155dabc4390906d656f902bf,60,67129.348,46809.0
39,39,0x440aae245b13201913da5da5dcd9b9d7cb3aab81,59,63089.1939,1658.6440677960002
40,40,0x18a4489a739ac9835da14e006b35d65040e53a4a,59,9134040.768,35763.050847457
41,41,0x16205a6048b6af17f1ac1a009bbf2ed9289e6921,56,41852.66071,7278645.0
42,42,0x9048d24577d4c4bbf14f1020f20640b334f8c762,55,13877.77436,3098827.6363636362
43,43,0xd75233704795206de38cc58b77a1f660b5c60896,54,278970.4165,27033931.111111112
44,44,0xc803698a4be31f0b9035b6eba17623698f3e2f82,54,10564379.22,448033.333333333
45,45,0x024bcbcaad82e67f721799e259ca60bc7d363419,51,37582.15961,25689152.941176474
46,46,0x594c6ed60fa2471de8757b34b116d68b68824017,50,1658219.145,7219780.800000001
47,47,0x9f65a3a3cb9420a2e06cb4bd75d439fecf7869e2,49,13092.83796,3600896.326530612
48,48,0xe852c2189316ec5eee9f36272962ade430f38531,49,12124.02184,3016267.3469387754
49,49,0x07cc65ec4de72fdf7d2b6c39fd80c4ea4706215b,48,36622.40042,25463057.5
50,50,0xfc95c6e764575c96ca8cd03ee9d64c9e218655a3,48,10935556.98,79151.25
51,51,0x7dd711c04e7426bda145aea0635e79e8fbbd8fbc,47,19034.07319,2606813.617021276
52,52,0x8ad52c3ab4233341f7a5b25dd0ebc4dcc26c53ee,47,15007.02064,4570706.808510638
53,53,0x9fc4a721ae053de0f42b4da6c7f842bcb3e35e0b,47,6335.668723,3116287.659574468
54,54,0xea39c551834d07ee2ee87f1ceff843c308e089af,47,98503.63447,19106945.10638298
55,55,0x71db5b6b2b7ebb785eab3b55861824977a1e0323,46,32181.28457,26127983.47826087
56,56,0x0c80a1162a061d1c63743fef56204c3fca45074f,46,14408.29087,4101900.0000000005
57,57,0x76686847a10a6d88f3bc890b4f7ab3dfad2e57d5,45,191277.6378,412.0
58,58,0x581eeec38be03a9b14493bb486dfabfe2e49c59a,45,22806.46489,5523840.0
59,59,0xf224837e13b1a745574ef68a73427b0063f266f1,45,51951.66089,13851932.0
60,60,0x1a0ee44788832c7702a462e5e0cecde19a2d432f,44,31401.89227,3214022.727272727
61,61,0x052564eb0fd8b340803df55def89c25c432f43f4,44,39020.08795,22592582.72727273
62,62,0x3be89b64e1437bb18da2d26bcbe9bd3daaadfc26,44,21407.24273,23470800.0
63,63,0xf019b2770b4fac719b5d2bef115acc50bd3394b3,43,33042.64651,27823547.441860467
64,64,0x461a3dbe957486696ddf1147e9e0053da93571c2,43,196902.8956,19067.441860465
65,65,0xa158ffb97cc5b65c7c762b31d3e8111688ee6940,43,18537.6393,15698648.372093026
66,66,0x10cc22fb156cc385946c83176885724b820e684c,43,18080.68814,3500600.9302325584
67,67,0xfc840af78a496b52e378dfa94838402e1b7f71dd,43,23717.65512,34004743.255813956
68,68,0x2511d32e59c22a422b0809ab6f9cc4910edf4e4f,42,82728.1781,22626564.285714284
69,69,0x2e58dda8cc1b6752a2c4251ea52539f9547375a3,42,14390.72929,4344007.142857144
70,70,0x69c488bcda156379b6661f08a35db627e5d467dd,41,289425.1988,6481175.121951221
71,71,0xf1ddb5dacc5a916842aae0a6fbe59c36f97bd940,41,11018084.09,67501.46341463401
72,72,0x6cfdad0772edc2ea15076a9706ec7c1f0a791ac1,41,79750.45512,2476914.146341463
73,73,0x59acb0015b7c5ec9c1b955109c4ab34e4d4356a8,41,385962.7707,21409.756097560003
74,74,0x8d48e5794e054001db3dc5c9e94050299e6d1636,41,40293.81927,13214438.04878049
75,75,0xc73b768d1b12c553fdb355cac7bb03bfa75bc260,40,12124.76825,10504048.5
76,76,0x85d105ca349bc896c580c711258b3a75de71f5cf,40,417564.9063,749613.0
77,77,0x16033a8ebe3803056e40ccb3720f02440b2422b0,40,1599263.945,552699.0
78,78,0x1beaa793c4df62246ed4af13eaf00b31dbb55a22,40,409220.001,6543.0
79,79,0x0743882fa09a0c257b18d53dc1b101d3f32a04e5,40,97775.6375,10646514.0
80,80,0xe6563194f9baa6e3064086a98bf73608fc17cbfd,40,86381.20475,19578457.5
81,81,0x6b89621399ec71829e266dd25bb45a8741fb0a5e,40,9915.28675,3643008.0
82,82,0x6179e5e81c6833f2b55c7372d02d5d6dd2843cc4,40,399337.559,4644.0
83,83,0xb4debf1547c4df92ccf15ae0c70a61ae6e5f002d,39,21365.32051,2889066.153846154
84,84,0xe3dbc37f19c9496c81c6e19d656029a607193cf8,39,98830.67821,1716816.923076923
85,85,0x4003b5fee68a8659687a854135f61f2cb4f839b6,39,57598.15513,214652.30769230702
86,86,0x8a7e50ede42180c62b583b3b287d2f433d6c604d,39,57810.44974,11462732.307692308
87,87,0xead6605b9e105e28bd35e9f494131c10c1281ce9,39,37423.99359,8842470.76923077
88,88,0x48aabab1e5224540dfd31e48ded0ba6725185c93,39,111690.8659,58261.538461538
89,89,0x54b174179ae825ed630da40b625bb3c883cd40ae,38,93005.15684,6913190.52631579
90,90,0xee04217f5cdc482a7ff549fb30dcc7019c2ef526,38,12908.70395,7764377.3684210535
91,91,0x485f1c06a29b78093a9d350ae92aa70b70d4cf11,38,41871.77237,3981517.8947368423
92,92,0x95306e91f11fbd86ddcd7a1bc8eed6b06b338a05,38,17917.39,11925944.210526317
93,93,0x1c24d52a9ba9fd36e70c7e3f9fae9e40cfe25d3b,38,26647.18553,5201317.894736842
94,94,0xb8adcc8e382a7c43bdfa2e1c47059a1afec10e06,38,54289.27316,24634015.263157897
95,95,0xbdd95abe8a7694ccd77143376b0fbea183e6a740,37,32171.18568,4741115.675675676
